Id,Age,Job,MaritalStatus,Education,Default,Balance,HomeInsurance,Loan,Communication,DayLastContacted,MonthLastContacted,Contacts,DaysPassed,Attempts,Outcome,CallStartTime,CallEndTime,Insurance
CP0,52,management,married,tertiary,0,751,0,0,cellular,14,may,4,371,5,failure,16:36:39,16:39:24,0
CP1,21,unemployed,married,secondary,0,2062,1,0,,3,jun,1,-1,0,,14:42:44,14:44:27,0
CP2,37,technician,single,tertiary,0,-1,1,0,cellular,2,feb,2,200,7,other,13:31:39,13:35:22,0
CP3,46,technician,single,tertiary,0,628,0,0,cellular,20,nov,5,-1,0,,11:18:46,11:26:20,0
CP4,43,technician,married,secondary,0,3723,1,0,cellular,11,aug,4,-1,0,,14:56:04,14:58:18,0
CP5,60,unemployed,married,secondary,0,957,0,0,cellular,8,sep,1,184,3,success,11:19:57,11:24:03,1
CP6,26,management,single,tertiary,0,1094,1,0,cellular,8,sep,1,-1,0,,13:36:28,13:38:45,1
CP7,75,retired,married,primary,0,1413,0,0,cellular,1,sep,2,188,2,success,15:07:13,15:16:05,1
CP8,41,blue-collar,married,secondary,0,1020,1,0,,29,may,1,-1,0,,11:41:36,11:46:12,0
CP9,38,management,married,tertiary,0,980,0,0,,3,jun,5,-1,0,,14:22:31,14:33:33,0
CP10,52,management,divorced,tertiary,0,96,0,0,cellular,19,aug,1,-1,0,,10:13:47,10:16:01,0
CP11,27,admin.,married,tertiary,0,346,0,0,cellular,11,oct,1,-1,0,,10:20:06,10:23:38,1
CP12,35,management,married,tertiary,0,1133,1,0,cellular,3,nov,1,-1,0,,14:55:56,14:57:38,1
CP13,43,blue-collar,married,secondary,0,95,1,0,cellular,18,may,1,-1,0,,16:40:29,16:45:25,0
CP14,57,technician,divorced,tertiary,0,126,0,0,telephone,4,jun,2,-1,0,,14:31:44,14:34:30,1
CP15,44,admin.,married,secondary,0,399,1,1,,3,jun,2,-1,0,,15:21:55,15:26:26,0
CP16,34,technician,married,tertiary,0,5060,1,0,cellular,21,aug,21,-1,0,,13:13:30,13:13:42,0
CP17,40,services,married,secondary,0,471,1,0,cellular,24,jul,4,-1,0,,17:13:50,17:21:00,1
CP18,53,blue-collar,divorced,primary,0,2656,1,0,,30,may,2,-1,0,,9:52:48,10:25:48,1
CP19,28,management,single,tertiary,0,390,0,0,cellular,29,sep,1,232,4,success,10:04:09,10:18:14,1
CP20,43,technician,married,tertiary,0,2643,0,0,telephone,4,may,5,-1,0,,12:08:39,12:14:10,1
CP21,54,blue-collar,married,secondary,0,-102,1,0,cellular,27,aug,7,-1,0,,15:50:34,15:53:18,0
CP22,49,services,married,,0,1990,1,0,cellular,19,nov,4,-1,0,,14:19:02,14:19:46,0
CP23,54,management,married,tertiary,0,0,0,0,cellular,16,jul,5,-1,0,,17:38:38,17:40:36,0
CP24,36,technician,married,secondary,0,331,0,0,cellular,22,aug,4,-1,0,,17:44:15,17:48:14,0
CP25,59,retired,married,primary,0,4949,0,1,,12,jun,8,-1,0,,12:14:04,12:16:52,0
CP26,53,housemaid,married,primary,0,1869,0,0,cellular,11,aug,4,-1,0,,15:37:58,15:39:40,0
CP27,29,services,single,tertiary,0,737,1,1,cellular,30,jan,5,248,1,failure,14:50:12,14:58:31,0
CP28,51,admin.,single,tertiary,0,394,0,0,telephone,28,jan,2,-1,0,,13:35:14,13:51:22,1
CP29,57,retired,single,tertiary,0,2528,1,1,,30,may,1,-1,0,,9:09:26,9:21:30,0
CP30,33,management,married,tertiary,0,130,0,0,cellular,25,aug,8,-1,0,,12:37:16,12:39:17,0
CP31,38,admin.,single,secondary,1,-61,0,1,cellular,18,jul,2,-1,0,,10:53:44,10:55:26,0
CP32,54,retired,married,secondary,0,3538,0,0,cellular,27,may,1,-1,0,,10:19:10,10:32:50,1
CP33,33,admin.,divorced,secondary,0,294,1,0,cellular,8,may,1,-1,0,,9:35:53,9:48:36,1
CP34,60,management,married,tertiary,0,1573,0,0,telephone,7,jul,15,-1,0,,10:33:55,10:35:14,0
CP35,58,management,divorced,tertiary,0,5701,0,0,cellular,2,feb,1,-1,0,,15:36:32,15:45:13,1
CP36,36,student,single,,0,417,0,0,cellular,10,feb,1,-1,0,,14:49:17,14:51:48,1
CP37,60,retired,married,,0,1396,0,1,cellular,26,aug,2,-1,0,,10:32:49,10:34:33,0
CP38,64,retired,married,primary,0,43,0,0,cellular,10,dec,1,-1,0,,16:37:19,16:41:11,1
CP39,40,management,married,tertiary,0,8902,1,0,cellular,14,aug,5,-1,0,,11:51:04,11:58:48,0
CP40,62,retired,married,secondary,0,1495,0,0,cellular,13,oct,1,57,2,success,16:31:38,16:46:34,1
